Artist,Song,Lyrics
pusha t,the story of adidon,"['Easy money', ""It's about to be a surgical summer"", 'Chop the tops off the coupes', ""The cuatrociento' ochenta y ocho"", 'The Spider joint', 'And you know we gotta cut the heads off these snakes, right?', 'Watch the body drop', '[Verse]', '[Verse]', ""Drug dealin' aside, ghostwritin' aside"", ""Let's have a heart-to-heart about your pride"", ""Even though you're multi, I see that your soul don't look alive"", ""The M's count different when Baby divides the pie, wait"", ""Let's examine why"", 'Your music for the past few years been angry and full of lies', 'I\'ll start it at the home front, ""I\'m On One""', ""Dennis Graham stay off the 'Gram, bitch, I'm on one"", ""You mention wedding ring like it's a bad thing"", 'Your father walked away at five—hell of a dad thing', ""Marriage is somethin' that Sandi never had, Drake"", ""How you a winner but she keep comin' in last place?"", 'Monkey-suit Dennis, you parade him', 'A Steve Harvey-suit nigga made him', ""Confused, always felt you weren't Black enough"", ""Afraid to grow it 'cause your 'fro wouldn't nap enough"", 'Since you name-dropped my fiancée', ""Let 'em know who you chose as your Beyoncé"", 'Sophie knows better as your baby mother', 'Cleaned her up for IG, but the stench is on her', ""A baby's involved, it's deeper than rap"", ""We talkin' character, let me keep with the facts"", 'You are hiding a child, let that boy come home', ""Deadbeat mothafucka playin' border patrol, ooh"", 'Adonis is your son', ""And he deserves more than an Adidas press run; that's real"", 'Love that baby, respect that girl', ""Forget she's a pornstar, let her be your world, yuugh!"", 'How dare you put Ye in my verses?', ""I'm selfish, I want all of the curses"", ""I'm pre-bookin' the churches, me versus three hearses"", ""If we all go to Hell, it'll be worth it"", 'Already aligned with the greats, and on that same note', 'The only ones I chase are two ghosts', ""Still givin' you classics, that's the only thing that dates me"", 'OVO 40, hunched over like he 80—tick, tick, tick', 'How much time he got? That man is sick, sick, sick', 'I got the devil flow, nigga—six-six-six', 'Surgical summer with it—snip, snip, snip', ""And you don't really want it with him"", 'You might also like', 'Surgical Summer, Volume 1', ""We gon' take this slow"", ""We just gon' peel it back layer-by-layer"", 'Yeah, ', ""Album of the motherfuckin' year"", ""And you talkin' 'bout you upset"", 'Hahahahaha', ""Well, I wanna see what it's like when you get angry, okay?"", 'You show me that', 'Push!', ""\nI was hidin' the world from my kid""]"
drake,tuscan leather,"['Yeah', 'Alright, yeah', '[Verse 1: Drake]', '[Verse 1: Drake]', ""Comin' off the last record"", ""I'm gettin' twenty million off the record"", ""Just to off these records, nigga, that's a record"", ""I'm livin' like I'm out here on my last adventure"", 'Past the present when you have to mention', ""This is nothin' for the radio, but they'll still play it though"", ""'Cause it's that new Drizzy Drake, that's just the way it go"", 'Heavy airplay all day with no chorus', 'We keep it thorough, nigga', 'Rap like this for all of my borough niggas', ""I reached the point where don't shit matter to me, nigga"", ""I reached heights that Dwight Howard couldn't reach, nigga"", 'Prince Akeem, they throw flowers at my feet, nigga', 'I could go a hour on this beat, nigga', ""Yeah, I'm just as famous as my mentor"", ""But that's still the boss, don't get sent for"", ""Get hype on tracks and jump in front of a bullet you wasn't meant for"", ""'Cause you don't really wanna hear me vent more"", 'Hot temper, scary outcome', ""Here's a reason for niggas that's hatin' without one"", 'That always let they mouth run', ""Bench players talkin' like starters, I hate it"", 'Started from the bottom, now we here, nigga, we made it', ""Yeah, Tom Ford Tuscan Leather smellin' like a brick"", 'Degenerates, but even Ellen love our shit', ""Rich enough that I don't have to tell 'em that I'm rich"", 'Self-explanatory, you just here to spread the story', 'Wassup?', 'You might also like', ""Sittin' Gucci Row like they say up at UNLV"", ""Young rebel, Young Money, nothin' you could tell me"", ""Paperwork takin' too long, maybe they don't understand me"", ""I'll compromise if I have to, I gotta stay with the family"", ""Not even talkin' to Nicki, communication is breakin'"", 'I dropped the ball on some personal shit, I need to embrace it', ""I'm honest, I make mistakes, I'd be the second to admit it"", ""Think that's why I need her in my life, to check me when I'm trippin'"", 'On a mission, tryna shift the culture', ""Tell me who dissin', I got some things that'll hit the culprit"", ""Them strep throat flows, them shits to stop all of the talkin'"", ""All of the talkin', got one reply for all of your comments"", ""Fuck what you think, I'm too busy, that's why you leave a message"", 'Born a perfectionist, guess that makes me a bit obsessive', 'That shit I heard from you lately really relieved some pressure', 'Like ayy, B, I got your CD, you get an E for effort', ""I piece letters together and get to talkin' reckless"", 'Owl chains like credentials,', ""My life's a completed checklist"", ""I'm tired of hearin' 'bout who you checkin' for now"", ""Just give it time, we'll see who's still around a decade from now"", ""That's real"", '[Verse 3: Drake]', '[Verse 3: Drake]', ""How much time is this nigga spendin' on the intro?"", ""Lately I've been feelin' like Guy Pearce in "", 'I just set the bar, niggas fall under it like a limbo', ""The family all that matters, I'm just out here with my kinfolk"", 'Off everything my pen wrote, we went from Bundy to Winslow', 'This for shorty up on Glengrove who love when I catch my tempo', 'I sip the Pora', 'The fresh prince, just had dinner with Tatyana, no lie', 'All these nineties fantasies on my mind', 'The difference is that with mine, they all come true in due time', ""I might come through without security to check if you're fine"", 'That\'s just me on my solo like ""Fuck it"", like ""YOLO""', 'Wanted to tell you, ""Accept yourself""', ""You don't have to prove shit to no one except yourself"", ""And if you end up needin' some extra help, then I could help"", 'You know, back on your feet and shit', 'Tryna get my karma up, fuck the guilty and greedy shit', ""How much time is this nigga spendin' on the intro?"", ""How this nigga workin' like he got a fuckin' twin though?"", ""Life is soundin' crazy, 40 on Martin Scorsese"", ""And I wouldn't change a thing if you paid me"", 'Now real nigga, wassup?', 'Ayy, yeah, ayy', ""How much time is this nigga spendin' on the intro?"", '[Spoken Outro: Curtis Mayfield]', ""If there's hell below, I'll see you when you get there"", ""Are you enjoyin' yourselves?"", ""If we may, we would just like to close off with somethin' a bit inspirational"", 'Hopefully something a bit relevant as to us all are having the same fears, shedding similar tears, and of course dying in so many years', ""It don't mean that we can't have a good life"", ""So we'd like to just maybe close out with something, some food for thought, for all of us"", '[Produced by Noah ""40"" Shebib]', '[Produced by Noah ""40"" Shebib]']"
pusha t,infrared,"['Infrared, yeah, you know what I mean?', 'Infrared, yeah, you know what I mean?', '[Verse]', '[Verse]', ""The game's fucked up"", ""Niggas’ beats is bangin', nigga, ya hooks did it"", ""The lyric pennin' equal the Trumps winnin’"", 'The bigger question is how the Russians did it', 'It was written like Nas, but it came from Quentin', ""At the mercy of a game where the codes is missin'"", ""When the CEO's blinded by the glow it's different"", 'Believe in myself and the Coles and Kendricks', 'Let the sock puppets play in their roles and gimmicks', 'Shit, remember Will Smith won the first Grammy?', 'And they ain\'t even recognize Hov until ""Annie""', ""So I don't tap dance for the crackers and sing Mammy"", ""'Cause I'm ’posed to juggle these flows and nose candy (yugh)"", 'Ferrari, my 40th, blew the candles out', 'Tom Brady’d you niggas, I had to scramble out', ""They be ridin' these waves, I pulled my sandals out"", 'Jefe Latin my Grammy, I went the Spanish route', 'Oh, now it’s okay to kill Baby?', 'Niggas looked at me crazy like I really killed a baby', ""Salute Ross 'cause the message was pure"", 'He see what I see when you see Wayne on tour', 'Flash without the fire', ""Another multi-platinum rapper trapped and can't retire"", ""Niggas get exposed, I see the cracks and I'm the liar?"", 'Shit, I’ve been exposed, I took the crack and built the wire', 'Now who do you admire?', ""Your rap songs is all tryin' my patience"", ""Them prices ain't real without inflation"", 'I done flew it, I done grew it, been a conduit', 'Moynat bags on my bitches, I done blew it', 'See through it, neck, igloo it', 'Habla en español, I ""y tu"" it', ""Let Steven talk streamin' and Shazam numbers"", ""I'll ensure that you gettin' every gram from us"", ""Let's cram numbers, easily"", 'The only rapper sold more dope than me was Eazy-E', 'How could you ever right these wrongs', ""When you don't even write your songs?"", 'But let us all play along', ""We all know what niggas for real been waitin' on"", 'Push', 'You might also like', 'I do, so, yeah', 'Infrared, yeah, you know what I mean?', 'Infrared, yeah, you know what I mean?', 'Infrared, yeah, you know what I mean?', 'Infrared, yeah, you know what I mean?', ""I'm gone, I'm gone, you hear me?"", ""I'm gone"", '\nThe bigger question is how the Russians did it', '\nIt was written like Nas but it came from Quentin', ""\nY'all are the spittin' image of whatever jealousy breeds"", '\nDon’t push me when I’m in album mode', '\nYou not even top 5 as far as your label talent goes']"
drake,charged up,"['Stop, stop, stop…', ""Fuck niggas gon' be fuck niggas"", 'That’s why we never give a fuck when a fuck nigga switched up', 'I’m so sorry', 'Did you hope I was crying?', 'It was rough without you', 'It was rough without you', '[Verse 1]', '[Verse 1]', 'I did some charity today for the kids', ""But I'm used to it 'cause all y'all charity cases"", 'All y’all stare in my face in hopes you could be the replacement', ""Niggas is snitchin' on us without no interrogation"", ""I stay silent 'cause we at war and I’m very patient"", ""Six God is watchin', I just hope you’re prepared to face him"", 'I’m charged up, I’m charged up', '[Verse 2]', '[Verse 2]', 'Wow, I’m honored that you think this is staged', 'I’m flattered, man, in fact, I’m amazed', 'The perfect start to the summer, man, this shit is a doozy', ""This shit a twist in the movie, but don't jump to conclusions"", ""You boys are gettin' into your feelings on me"", 'You should embrace it, this could be one of our realest moments', 'Okay, the flow start to feel familiar, don’t it?', 'Must I remind you that Jimmy got 20 million on it?', 'Need DJ Clue to drop a bomb on it', 'None of them want this shit more than I want it', ""I seen it all comin', knew they would push a button"", ""East egg huntin', they gotta look for somethin'"", ""Done doin' favors for people"", ""'Cause it ain’t like I need the money I make off a feature"", ""I see you niggas havin' trouble goin' gold"", ""Turnin' into some so-and-sos that no one knows"", 'But so it go', 'Come live all your dreams out at OVO', ""We gon' make sure you get your bread and you know the ropes"", 'I get a ring and I bring it home like I’m Cory Joe', 'No woman ever had me star-struck', 'Or was able to tell me to get my bars up', 'I’m charged up', ""Oh no, we eatin', niggas ain’t about to starve us"", ""Nah, niggas ain't about to starve us"", ""I'm charged up"", 'You might also like', 'I bought my niggas rollies off of ', ""While these boys was stanky leggin'"", 'Trust me, this information is vital', ""I’m tryin' to take the high road,"", 'I got me a deal with Apple and I still feel entitled', ""Rumor has it, there’s somethin' that only I know"", 'Rumor has it, I steer the ship with my eyes closed', 'Rumor has it, I either fucked her or never could', 'But rumor has it, hasn’t done you niggas any good', 'It’s sound, sound, sound ‘til the day I die', ""We goin' live to keep this shit alive"", ""Cops are killin' people with they arms up"", 'And your main focus is tryna harm us?', 'And you think you ‘bout to starve us?', 'Niggas ain’t about to starve us', 'Nah, I’m charged up!', '[Outro]', '[Outro]', '(Stop, stop, stop, stop…)', 'Have you seen me? I’m doing so good', 'Every time we meet: ""Oh, I’m so sorry""', ""(Fuck niggas gon' be fuck niggas"", 'That’s why we never give a fuck when a fuck nigga switched up)', '[Sample]', '[Sample]', '""You know, I kept it real', 'It ain’t too many real people out here', 'And people be on some weak bitch-ass shit all day long', 'Industry people… regular people…', 'And then when you keep it real with people, they cross the line, take your kindness for weakness and that’s weak.""']"
drake,back to back,"['Oh man', 'Oh man, oh man', 'Not again', '[Verse 1]', '[Verse 1]', 'Yeah', 'I learned the game from William Wesley, you can never check me', ""Back to back for the niggas that didn't get the message"", ""Back to back, like I'm on the cover of Lethal Weapon"", ""Back to back, like I'm Jordan '96, '97"", 'Woah—very important and very pretentious', 'When I look back, I might be mad that I gave this attention', ""Yeah, but it's weighin' heavy on my conscience"", 'Yeah, and fuck, you left The Boy no options', 'I wanna see my niggas go insane', ""You gon' make me step out of my fuckin' frame"", ""You gon' make me buy bottles for Charlamagne"", ""You gon' make me go out of my fuckin' way"", ""I waited four days, nigga, where y'all at?"", ""I drove here in the Wraith, playin' AR-AB"", ""I'm not sure what it was that really made y'all mad"", ""But I guess this is what I gotta do to make y'all rap"", ""I mean woah, can't fool the city, man, they know what's up"", ""Second floor at Tootsies, gettin' shoulder rubs"", ""This for y'all that think that I don't write enough"", ""They just mad 'cause I got the Midas touch"", 'You love her, then you gotta give the world to her', ""Is that a world tour or your girl's tour?"", 'I know that you gotta be a thug for her', ""This ain't what she meant when she told you to open up more"", 'Yeah, trigger fingers turn to Twitter fingers', ""Yeah, you gettin' bodied by a singin' nigga"", ""I'm not the type of nigga that'll type to niggas"", ""And shout to all my boss bitches wifin' niggas"", 'Make sure you hit him with the prenup', 'Then tell that man to ease up', 'I did another one, I did another one', ""You still ain't did shit about the other one"", 'You might also like', 'I got the drink in me, going back to back', 'Yeah, going back to back', 'I got the drink in me, going back to back', ""Yeah, I'm going back to back"", '[Verse 2]', '[Verse 2]', ""I don't wanna hear about this ever again"", 'Not even when she tell him that they better as friends', 'Not even when you saying, ""Drizzy, tell \'em again!""', ""I been puttin' on a show, it was a sell-out event"", ""Oh, you need better seatin'"", ""I didn't wanna do it, gave me every reason"", ""The point I'm tryin' to make is I don't ever need 'em"", ""Seen what you'd do for fame, what would you do for freedom?"", ""Please, check 'em for a wire or a earpiece"", 'Please, please do not let these niggas near me', 'Please, think before you come for the great one', ""Please, who's a real nigga and who ain't one?"", 'Please, somebody stop me', ""I'm talkin' boasy and gwanin wassy"", ""I got the fest in five days and it's my shit"", ""Soon as a nigga hit the stage, they gon'"", '[Chorus]', '[Chorus]', ""They gon' ask if I can play this shit back to back"", 'Yeah, they want it back to back', ""They gon' ask if I can play this shit back to back"", 'I took a break from ']"
meek mill,wanna know,"['[Intro]', '[Intro]', 'I just wanna know how niggas going to jail', 'Telling on niggas, coming back home and it still being cool', 'I just wanna know how a nigga on Instagram and Twitter with fifty thousand followers', 'Ain’t got no money in real life, but still popping, I just wanna know', 'I wanna know, if a nigga ain’t really putting it in, but acting like he putting it in', 'Niggas still letting it fly like it’s cool, I really wanna know man', 'This shit getting different out here it’s getting spooky', '[Verse 1: Meek Mill & ', '[Verse 1: Meek Mill & ', 'Now when that shit went down with Chris, you wrote a check', 'In New Orleans wore my chain to get respect (you a fraud)', 'So what that tell me? You a pussy and a fed', 'Say the wrong shit you know the shooters at your neck', 'I just wanna know, if you ain’t write that running through the six shit (huh)', 'Tell us who the fuck was Quentin running through the six with?', '""Running through the six with my woes', 'Counting money, you know how it goes', 'All the real live forever, baby', 'And the fake get exposed""', ""Niggas writing for you 'cause you know you never did shit"", ""When I threw that hook out, I was tryin' to catch a big fish"", 'We the type of niggas to tie your mother up (Woah)', 'Fuck your sister in the ass and hit your brother up, pussy', 'You really sweet, I call you buttercup', 'You fucking dork you changed the style because you studied us', 'Coming with the same flow', 'Switching up your lingo', 'We just want a refund, this ain’t what we paid for', 'Every time that we come, we get what we came for', 'Spitting another niggas shit, but you claim you king though?', 'You might also like', 'I just wanna know, I just wanna know', 'How these niggas acting like they trill but really fake', 'And people acting like it go', 'I just wanna know, I just wanna know', 'Was it Quentin Miller? Was it Hush or was it Detail where you really got your flow?', '(Milli Vanilli that nigga)', '[Verse 2]', '[Verse 2]', 'Money make a fake ass nigga look real again (For real)', 'Money make a sucker that told look thurl again (For real)', ""Says a lot about all the people that's feeling him"", ""But I'ma show you bitch ass niggas what's real again"", 'Heard that other nigga talking we ain’t get back yet', 'Let’s keep it short, nigga you ain’t get your chick back yet', 'And now she rocking with the chaser and now you missed that check', 'You went from Clear Port to boarding pass you miss that jet, hold up', '[Interlude 1: Sample]', '[Interlude 1: Sample]', '""Cat, I got to take them off of here—that\'s right—I got to take them off of here, there’s only one, and that’s me, you understand?', '\'Fore all that fighting, you understand? Sucka thinks he good—sucka thinks he can whoop me, And I know he can’t whoop me and I—Hey, boy, the nigga whole style is chump, you understand? When it comes to me, you understand, let me get mines first. Then after I get mine, y’all can do what you wanna do.""', '[Verse 3]', '[Verse 3]', 'You know you fucked up right? (Hey!)', 'You shoulda just said nothing', ""Now you're going to have to give me a check to stop"", 'All I hear is platinum that platinum this', 'Meanwhile I’m on the carpet with a platinum chick', 'I got a platinum rollie, platinum whip', 'Niggas frauds I told the truth, don’t ask me shit', 'All this industry fake enemy and rap shit', ""It’s never really my style we got cash to get (Gettin' money)"", 'I really started from nothing now it’s back to shit', 'Puffy almost caught a domestic when he smacked that bitch', 'Hold up, let that bitch breathe (Woah)', '[Interlude 2: Diddy]', '""Yeah, this is called poppin\' shit. There’s no cut on it. There’s no cut on it. If your feelings get hurt, you feel like, ""Oh, that’s an arrogant little comment—"" no, this is the truth and the truth hurts. Haven’t I paid my dues? Haven\'t I weathered the storm? Didn’t I weather the storm? Niggas is gone and I\'m here.""', '[Outro]', '[Outro]', 'You let Tip homie piss on you in a movie theater nigga, we ain’t forget', 'Real niggas back in style this shit is lit', 'This that Ja Rule shit and 50 Cent']"
drake,summer sixteen,"['[Intro: Drake]', '[Intro: Drake]', 'Looking, looking, looking', 'Looking, looking, looking', 'Looking, looking', 'Looking', 'Looking', '[Chorus: Drake]', '[Chorus: Drake]', 'Looking for revenge', 'All summer sixteen', 'All summer sixteen', 'Playing dirty not clean', 'Out in front of Four Seasons', 'Looking like a damn football team', 'All in the same thing', 'All repping one thing', 'Looking for revenge', '[Verse 1: Drake]', '[Verse 1: Drake]', ""To do what you couldn't do"", 'Tell Obama that my verses are just like the whips that he in', 'They bulletproof', 'Minus twenty we in Pitfield', ""That Kai's kitchen in a Canada Goose"", 'Famous as fuck but I’m still in the cut when they round up the troops', 'I’m just a sicko, a real sicko when you get to know me nigga', 'I let the diss record drop, you was staying right below me, nigga', 'We must have played it a hundred times, you was going to bed', 'Why would I put on a vest? I expect you to aim for the head', 'I coulda killed you the first time', 'You don’t have to try and say it louder nigga', 'Trust, we heard you the first time', 'It’s nothing personal I would have done it to anyone', 'And I blame where I came from', 'And I blame all my day ones', 'You know Chubbs like Draymond', 'You better off not saying nothing', 'Them boys they a handful', 'Then I hit ‘em with the Hotline', 'Chris Breezy with the dance moves', 'Mo-G with the dance moves', 'Ave Boy with the dance moves', 'Jimi Hendrix with the solo', 'Those are strings that you can’t pull', 'Yeah, and I could really dish it out', 'Come and get it from the source', 'Fuck with all the word of mouth', 'Golden State running practice at my house', 'Nigga, what am I about?', 'You gon’ really feel it now', 'I’m out here…', 'You might also like', 'Looking for revenge', 'All summer sixteen', 'All summer sixteen', 'Playing dirty not clean', 'Out in front of Four Seasons', 'Looking like a damn football team', 'All repping one thing', 'Looking for revenge', '[Beat switch]', '[Beat switch]', '[Verse 2: Drake]', '[Verse 2: Drake]', 'All you boys in the new Toronto want to be me a little', 'All your exes know I like my O’s with a V in the middle', 'You would love it if I went away or didn’t say nothing else', 'How am I keeping it real by keeping this shit to myself?', 'You was never gang, gang, gang, gang, you was never one of us', 'Had us fooled for a minute there, now we done all grown up', 'But I’m better off anyway, y’all never gon’ finish Drake', 'Say you seeing ‘bout it when you see me man y’all never home anyway', 'Thought of things that you shoulda said, said things that you shouldn’t say', ""We even gave y'all the whole money play and y'all broke to this day"", '“Oh it’s your time now” yeah, that’s what everybody say', 'I used to wanna be on Roc-A-Fella then I turned into Jay', 'Now I got a house in LA, now I got a bigger pool than Ye', ""And look man, Ye’s pool is nice, mine's just bigger's what I’m saying"", 'I’m that nigga’s what I’m saying', 'Getting things done around here', 'How you let me run it down here?', 'I’m not even from around here', 'Six, six, six, six, six, soon as I’m back in the city they throw a parade', 'I might get a key to the city and give it to Wayne', 'Or give it to one of the young boys to carry the wave', 'Yeah, so trust me, they’ll be out here…', '[Chorus: Drake]', 'Looking for revenge', 'All summer sixteen', 'All summer sixteen', 'Playing dirty not clean', 'Out in front of Four Seasons', 'Looking like a damn football team', 'All repping one thing', 'Looking for...', '[Outro: DJ Khaled]', '[Outro: DJ Khaled]', 'They don’t want us to have a bigger pool than Kanye']"
meek mill,war pain,"['[Intro: Meek Mill]', '[Intro: Meek Mill]', ""Location: Toronto; Status: five star hotel, Four Seasons. Them chumps right upstairs, they know not to come down here playin' no real niggas (haha). Mood: I'm still up countin' five hundred thousand cash. Nicki in the bedroom sleep, life is good"", '[Verse 1: Meek Mill]', '[Verse 1: Meek Mill]', ""I've been in my cell for a week straight"", ""Locked down 24, no more Philip's Steak"", ""Damn, shit's so real it seems fake"", ""Damn, let me take 'em to the green gate"", ""When we was sellin' white girl"", ""Audemar shinin' like it need a light bill"", ""These niggas dick ride like they don't even like girls"", ""A hundred thousand for the jet, yeah that's the flight bill"", 'Damn, cost four bricks to go to the LIV nigga', ""Whole squad on some shit, that's how we live nigga"", 'Twenty-five bad bitches what we did nigga', ""That's fifty different Louboutins bleedin' red nigga"", ""Whew, I ain't blood and I ain't crippin' neither"", ""On the phone with the plug talkin' Justin Bieber"", ""I made a milly last week and I ain't touch it neither"", ""Straight cash tryna give 'em straight gas"", ""Catch you out in Brooklyn, get your chain tookin'"", ""My Philly boys'll creep up on you when you ain't lookin'"", 'With your lil memes, I be with the real queen', ""Screamin' free the real Preme, we be doin' real things"", ""Pull up with a bad bitch, whippin' somethin' real mean"", ""Marchin' all these fuckin' drums on me like a drill team"", 'I be with my young niggas, all they know is kill things', ""Don't make me make a real scene, uh"", 'See an OVO chain, probably take that shit', ""Said dreamin' wasn't enough, we had to chase that shit"", ""You ain't write it' nigga, we caught ya, can't erase that shit"", ""And you claimin' you HOV now? Why you state that shit?"", ""Man I hate that shit, niggas be talkin' out they face"", ""But soon as you body somethin' they be singin' like they Drake"", ""Wait, niggas dancin' like they fruitcakes"", ""Hotline Bling don't get no bang up in this new Wraith"", 'Pull up on the plug, swap that bag with the suitcase', ""DC4 on the way, that's nigga's due date"", 'Robbed you in your city and you told', ""Tory from the 6, you hatin' on him, Lord knows"", ""Culture vulture, now it's time to pay the tolls"", ""Soft as the lacrosse team, boy that's word to HOV"", ""No reply, word to God I'm on the floor still"", ""Me and Nicki watchin' the Sixers,"", ""Dreamchasers' double MG, we got the door sealed"", ""Roc Nation, Atlantic Records, I'm on my fourth deal"", 'When I met you, you was on my dick', 'Asked me to hold the DC chain, now you on some shit', 'Omelly told me get it back cause he\'s like ""boy\'s a bitch""', ""And I'm like, let him get it took cause we gon' charge 'em trips"", 'You might also like', 'Fuckboy, huh charge you triple the way this real nigga stamp. Chasers, ahh.', '[Verse 2: Omelly & ', '[Verse 2: Omelly & ', ""I've been in the hood for like a year straight"", ""Sippin' dirty, it be hard for me to stand straight"", ""Damn, it's time to cut the dead weight"", ""I'm tryna turn my CLS into a red Wraith"", ""When I was sellin' hard crack you was scared straight"", 'I dropped 9 and bought the Rollie with the red face', 'Meek the one that got the mil, the one that got the deal', ""I'm still lampin' with the shooters and they poppin' pills"", ""These niggas like to rap diss 'til they get popped for real"", ""It's time to son these pussy rappers, I'm their pop for real"", ""I'm the type to fuck your mom cause she's a thot for real"", ""And I ain't got one, my pump playin' shotgun"", 'Quarterback that Glock, Cam Newton, and you catch a hot one', ""And for the fam I'll keep shootin' until the cops come"", 'Reload, double back', 'Official only respect official and you are not one', 'No, we are not them, we be on some other shit', ""Deep in them trenches, duckin' narcotics and the government"", ""Tracin' the dollar, flippin' that product, tryna double shit"", ""Chewing like it's double mint"", ""Man, who you niggas fuckin' with?"", '[Outro: Omelly]', ""Hah, hey Meek Mill man, I'ma start running down on these niggas too. Real rap, these niggas soft and they frauds, check DC record nigga, we flawless. Any nigga stepped up to the fuckin' plate got rolled over. I ain't just talkin' to be talkin', nigga, check the resume.""]"
pusha t,exodus 23:1,"['Ha ha ha ha ha', '[Chorus: Pusha T]', '[Chorus: Pusha T]', 'Beef is best served like steak: well done', 'Get a gun in your face, bitch nigga', 'Beef will have you praying to God', 'Move your kids, have you hiding your mom', 'Beef is when you hide behind them other niggas', ""But they ain't killers they ain't pullin' them triggers, fuck niggas"", 'Beef will have you keying our cars', ""Heartbroke, yours don't look like ours"", '[Post-Chorus: The Dream & ', '[Post-Chorus: The Dream & ', ""Them niggas ain't dying for you"", ""Them niggas ain't dying for you"", 'Throwing that flag up running around you hot shit', 'Taking half of everything you get', ""Yeah them niggas ain't dying for you"", ""Them niggas ain't dying for you"", 'And we know that', '[Verse: Pusha T]', '[Verse: Pusha T]', 'Contract all fucked up', 'I guess that means you all fucked up', 'You signed to one nigga that signed to another nigga', ""That's signed to three niggas, now that's bad luck"", 'Damn that shit even the odds now', 'You better off selling this hard now', 'You call it living out your dreams', ""You can't fly without your wings"", 'You get it', ""Jeremy Scott's all camouflaged"", ""You can't hide it from yourselves, career sabotaged"", 'I was really in that Travelodge', 'You just lying through your catalogues', 'Where the blood and the battle scars', 'We the ones that judge juggling the gavels on', 'Put me to the body, nigga', 'First 48 put us to them bodies, nigga', ""Round here we don't play that"", 'A to the K that, spray that, lay back', 'You can keep your beats, nigga', ""We'd much rather share your bitch, nigga, bitch nigga"", ""3 million can't hide that"", 'It shows in the homes I done tried that', ""That's why you'll never be my neighbors"", 'Smile as you waving but we know you niggas hate us', 'Fuck you playing games for', ""Don't be scared get everything you came for"", 'They got you talking that big shit', ""Little do you know we don't miss shit"", 'Them niggas using you as a pawn', 'You see they never loaded they guns', 'Now you out here all by yourself', ""Ask Steve Jobs, wealth don't buy health"", 'You might also like', 'Beef is best served like steak: well done', 'Get a gun in your face, bitch nigga', 'Beef will have you praying to God', 'Move your kids, have you hiding your mom', 'Beef is when you hide behind them other niggas', ""But they ain't killers they ain't pullin' them triggers, fuck niggas"", 'Beef will have you keying our cars', ""Heartbroke, yours don't look like ours"", '[Post-Chorus: The Dream & ', '[Post-Chorus: The Dream & ', ""Them niggas ain't dying for you"", ""Them niggas ain't dying for you"", 'Throwing that flag up running around you hot shit', 'Taking half of everything you get', ""Yeah them niggas ain't dying for you"", ""Them niggas ain't dying for you"", 'And we know that', '[Outro: Notorious B.I.G.]', '[Outro: Notorious B.I.G.]', ""What's beef? Beef is when you need 2 Gats to go to sleep"", ""Beef is when your moms ain't safe up in the streets"", 'Beef is when I see you', 'Guaranteed to be in ICU, one more time', ""What's beef? Beef is when you need 2 Gats to go to sleep"", ""Beef is when your moms ain't safe up in the streets"", 'Beef is when I see you', 'Guaranteed to be in ICU, one more time']"
